propertyId,tenantInstitutionId,estimated_sales,rental_area
25486,4085202,11126034.0,11000.0
61955,4206347,6357700.0,4200.0
10124731,4046897,3752620.0,4500.0
66228,4067105,4949108.0,10500.0
66443,4001588,2978482.0,4500.0
66443,4004104,397131.0,600.0
66510,4057779,748557.0,900.0
66510,4070123,5677228.0,7500.0
66510,4911259,2270891.0,3000.0
66026,4022715,5909609.0,4800.0
37789,4679397,7908523.0,6765.0
10494,103050,576489.0,760.0
10517,4004135,27784050.0,30000.0
10530,4120239,30771486.0,36900.0
58481,4064723,1282559.0,2400.0
17865,4004205,5044401.0,3900.0
21688,4004302,6639244.0,11400.0
67427,4280847,75661459.0,55600.0
67493,4120239,18167130.0,24000.0
67874,4022715,5358810.0,3900.0
67795,4022715,13603132.0,9900.0
67757,4022715,7929668.0,6600.0
67737,4069240,610114.0,3000.0
68323,4067428,3582084.0,6000.0
69053,4088591,9788228.0,3600.0
69158,4071073,6593728.0,10500.0
7297,4090229,5387036.0,6000.0
69788,4001588,49732517.0,65700.0
69788,4004104,11354456.0,15000.0
69790,4004104,11354456.0,15000.0
69791,4001588,,
69791,4004104,3519014.0,4500.0
69791,4069283,3519014.0,4500.0
69792,4120239,29624000.0,42000.0
55500,4070074,1508750.0,9000.0
69933,4001588,7255066.0,8700.0
70201,4067875,,
60956,4206347,6811821.0,4500.0
6406,1014071,5708026.0,2090.0
70683,4182157,5481194.0,13500.0
70705,4911259,382361.0,600.0
70705,5066507,20838685.0,32700.0
58026,106402,26601395.0,22755.0
10519,4120239,25277228.0,36900.0
10548,3005566,669182.0,1050.0
71130,4057779,28195647.0,33900.0
71133,4182157,4596945.0,9900.0
71208,4070608,6392998.0,13200.0
71211,4067403,381646.0,900.0
71211,4004135,61124910.0,66000.0
61317,4004302,5765660.0,9900.0
69160,4071073,11291674.0,16500.0
69160,4004302,7687546.0,13200.0
71127,4022715,8206834.0,6600.0
19149,4189101,4406783.0,9900.0
10128889,4046897,4608182.0,6600.0
72258,4996762,17970734.0,34000.0
72259,4093275,7613817.0,205.0
72298,4046676,359892.0,800.0
32939,4071032,1331743.0,6600.0
58026,4100787,239652.0,205.0
72813,4193280,7159992.0,15000.0
72813,4004104,,
73309,4095737,19045651.0,16910.0
10530,4046897,2501747.0,3000.0
43589,4095883,7849814.0,7995.0
73925,4068334,1751223.0,2100.0
73979,4071073,6159095.0,9000.0
10097520,4001588,15010481.0,18000.0
74373,4001588,15010481.0,18000.0
10097520,4053619,61402514.0,114900.0
74373,4053619,61402514.0,114900.0
74379,4001588,11310993.0,16200.0
74379,4099645,17175953.0,24600.0
74379,4193280,453176.0,900.0
72385,4058050,18269990.0,24600.0
74774,100369,8339100.0,3610.0
74790,4057779,9980760.0,12000.0
74790,4022715,7007674.0,5100.0
74763,100369,7264761.0,2660.0
74777,4202227,303200.0,1600.0
74795,4057907,6986532.0,8400.0
74764,4057779,34932660.0,42000.0
74764,4206347,6183242.0,4500.0
74247,4911259,5003494.0,6000.0
75358,5224107,2724729.0,1800.0
75360,4911259,2751921.0,3300.0
75361,5224107,9082429.0,6000.0
75361,5025968,7760617.0,6000.0
75362,5224107,2270607.0,1500.0
76290,4068334,1026366.0,1500.0
76267,4022715,2281324.0,1800.0
76271,4022715,6083529.0,4800.0
74192,4022715,4849493.0,3900.0
78165,4004135,44104800.0,60000.0
78184,106473,435075280.0,205.0
75297,4071073,6785220.0,9000.0
75297,4068012,2945700.0,9900.0
75297,4066720,30299748.0,13200.0
78316,4068813,3905000.0,7500.0
78316,4120239,26026800.0,36900.0
78385,4057950,20616356.0,22500.0
78385,4070006,9619193.0,18000.0
78385,4182157,6752352.0,13200.0
78481,5224107,9082429.0,6000.0
61316,4022715,1648864.0,1200.0
69158,4069240,186620.0,1000.0
30192,114532,10891678644.0,8778000.0
80507,4109201,3225664.0,3900.0
80509,4095949,4215370.0,8400.0
80567,4071244,1236686.0,6000.0
81933,4058144,10948425.0,15000.0
22858,5066507,13759607.0,16500.0
61955,4064723,3817883.0,8100.0
83990,4057907,30441318.0,36600.0
85214,4068334,1195709.0,1800.0
9759,4053619,13869927.0,32700.0
85936,4121560,4500679.0,6300.0
86564,110879,15323790.0,12350.0
86838,4022715,2162637.0,1800.0
86848,4022715,5668701.0,4800.0
86802,4022715,7929668.0,6600.0
86901,4022715,3964834.0,3300.0
88679,3005566,2724729.0,1800.0
21685,4911259,382361.0,600.0
88996,4258073,1054493.0,2700.0
89262,4071364,1298000.0,4000.0
90178,4294911,1179447.0,2100.0
90264,4911259,2043802.0,2700.0
90264,4022715,4946593.0,3600.0
92565,4206347,3892585.0,3300.0
55435,5034359,209148634.0,161700.0
84219,103952,2113952.0,1900.0
93009,4391554,1525522.0,3300.0
93009,4069462,15010481.0,18000.0
93186,4022715,3604394.0,3000.0
94355,4121716,4656370.0,3600.0
69790,4112718,1646825.0,2700.0
31695,4067081,4706500.0,9600.0
36074,4066720,11373135.0,15900.0
5964,4069240,1952365.0,9600.0
90264,4057907,499038.0,600.0
93009,4193280,8840530.0,14700.0
94706,4329552,2010053.0,4200.0
25510,4150520,2383517.0,2250.0
37789,4154748,15346254.0,22000.0
95411,4095864,6340036.0,5400.0
95429,4064723,1979643.0,4200.0
95431,4068813,4616882.0,7500.0
95431,4126080,18763101.0,22500.0
96267,4095949,5200701.0,8400.0
96271,4095864,5622854.0,5400.0
96288,4095949,4720792.0,8400.0
98081,4070287,12003892.0,19500.0
95939,4068012,357055.0,1200.0
103768,4159346,142950240.0,222000.0
96627,4069240,492901.0,2200.0
5215,4004104,10419734.0,16200.0
111470,5180558,437937.0,600.0
111609,5180558,180700.0,400.0
115131,5206826,46638.0,210.0
56472,3005566,12508734.0,15000.0
117995,4068813,3755048.0,7500.0
117995,4070608,4563754.0,10500.0
117995,4193280,7190268.0,14700.0
118175,4004135,83352150.0,90000.0
118188,4071073,11308700.0,15000.0
25505,4065762,9131849.0,8610.0
78316,4069462,3174000.0,4500.0
40599,4168447,27393300.0,29800.0
119465,4057779,1683974.0,2100.0
120657,4206347,4541214.0,3000.0
91318,4067105,2182030.0,5100.0
